费用名称（中）,费用名称（英文）,缩写,费用发生的服务段,适用的服务(委托类型）,最终由谁收取（供应商),对应的结算费用编码,对应的CW1费用编码,描述（中文）,描述（英文）,是否异常费用,计费单位,对应的财务科目,特殊适用范围说明,父记录
ISF保证金,,,,,,"55149   , 55149",,,,,,,,会展服务
进馆费,,,,,,"55087   , 55144",,,,,,,,会展服务
施工费,,,,,,"55127   , 55127",,,,,,,,会展服务
展品附加费,,,,,,"55125   , 55125",,,,,,,,会展服务
IT服务,,,,,,,,,,,,,,增值服务费
IT服务费,,,,,,"55136   , 55136",,,,,,,,IT服务
贸易代理费,,,,,,"55143   , 55143",,,,,,,,贸易服务
人工费用,,,,,,,,,,,,,,
人工费,,,,,自有员工,"OP001012, 55148, SEA01010",,,,,,,,人工费用
自有车辆驾驶员人工费,,,,,,"55164   , 55164",,,,,,,,人工费用
预约加班费,,,,,,"55188   , 55188",,,,,,,,人工费用
利润分配,,,,,,,,,,,,,,
利润分成,,,,,,0102,,,,,,,,利润分配
砍泡分成,,,,,,854,,,,,,,,利润分配
利润返还,,,,,,"55812   , 0116, 55175",,,,,,,,利润分配
订舱佣金,,,,,,550016  ,,,,,,,,利润分配
特殊科目,,,,,,,,,,,,,,
包干费,,,,,,"OPN068  , 8010, OPN068",,,,,,,,特殊科目
服务费,,,,,,0063,,,,,,,,特殊科目
门到门费用,,,,,,0081,,,,,,,,特殊科目
内陆费用,,,,,,0322,,,,,,,,特殊科目
附加费,,,,,,655233,,,,,,,,特殊科目
补贴申请服务费,,,,,,55915,,空运事业部委托车队申请机场补贴,,,,,,特殊科目
港口作业包干费,,,,,,OPN076,,,,,,,,码头操作费
,,,,,,,,,,,,,,
产品附加费,,,,,,,,,,,,,电商货针对特殊货物名称收取的额外操作费。,货物附加费用
